Date	Home-Team	Away-Team	For	Against	Attendance	Competition	Comp	Comments	Referee	Awarded	Round	Period	
4/10/2004	BYU Cougars	San Diego Gauchos	0	1	570	League Game	LGE			As Scored	0	0	
4/16/2004	California Gold	Utah Blitzz	0	0	850	League Game	LGE			As Scored	0	0	
4/16/2004	Charlotte Eagles	Pittsburgh Riverhounds	3	0	1,166	League Game	LGE			As Scored	0	0	
4/17/2004	California Gold	Utah Blitzz	1	1	220	League Game	LGE			As Scored	0	0	
4/17/2004	Northern Virginia Royals	Harrisburg City Islanders	2	5	500	League Game	LGE			As Scored	0	0	
4/17/2004	Puerto Rico Islanders	Toronto Lynx	0	1	100	League Game	LGE			As Scored	0	0	
4/17/2004	Richmond Kickers	Charleston Battery	0	2	2,813	League Game	LGE			As Scored	0	0	
4/17/2004	San Diego Gauchos	Fresno Fuego	1	5	280	League Game	LGE			As Scored	0	0	
4/17/2004	Wilmington Hammerheads	Pittsburgh Riverhounds	1	2	100	League Game	LGE			As Scored	0	0	
4/24/2004	Atlanta Silverbacks	Syracuse Salty Dogs	0	1	2,343	League Game	LGE			As Scored	0	0	
4/24/2004	Charleston Battery	Richmond Kickers	1	1	3,754	League Game	LGE			As Scored	0	0	
4/24/2004	Fresno Fuego	Utah Blitzz	1	0	800	League Game	LGE			As Scored	0	0	
4/24/2004	Long Island Rough Riders	Westchester Flames	1	1	2,024	League Game	LGE			As Scored	0	0	
4/24/2004	Nevada Wonders	Orange County Blue Star	0	2	300	League Game	LGE			As Scored	0	0	
4/24/2004	Pittsburgh Riverhounds	Northern Virginia Royals	5	0	1,187	League Game	LGE			As Scored	0	0	
4/24/2004	San Diego Gauchos	California Gold	2	0	100	League Game	LGE			As Scored	0	0	
4/24/2004	Wilmington Hammerheads	Charlotte Eagles	3	2	1,421	League Game	LGE			As Scored	0	0	
4/25/2004	Minnesota Thunder	Calgary Mustangs	2	0	3,567	League Game	LGE			As Scored	0	0	
4/25/2004	Puerto Rico Islanders	Montreal Impact	0	2	100	League Game	LGE			As Scored	0	0	
4/29/2004	Puerto Rico Islanders	Syracuse Salty Dogs	1	2	4,000	League Game	LGE			As Scored	0	0	
4/30/2004	Charleston Battery	Montreal Impact	0	1	2,965	League Game	LGE			As Scored	0	0	
4/30/2004	Charlotte Eagles	Harrisburg City Islanders	1	0	1,208	League Game	LGE			As Scored	0	0	
4/30/2004	Cocoa Expos	Central Florida Kraze	2	1	250	League Game	LGE			As Scored	0	0	
4/30/2004	Nevada Wonders	Southern California Seahorses	3	2	150	League Game	LGE			As Scored	0	0	
4/30/2004	Richmond Kickers	Virginia Beach Mariners	1	1	3,014	League Game	LGE			As Scored	0	0	
4/30/2004	San Diego Gauchos	Utah Blitzz	1	0	287	League Game	LGE			As Scored	0	0	
4/30/2004	Vancouver Whitecaps	Edmonton Aviators	0	0	5,722	League Game	LGE			As Scored	0	0	
5/1/2004	Atlanta Silverbacks	Montreal Impact	0	2	1,002	League Game	LGE			As Scored	0	0	
5/1/2004	Brooklyn Knights	Reading Rage	1	2	100	League Game	LGE			As Scored	0	0	
5/1/2004	California Gold	Fresno Fuego	1	5	400	League Game	LGE			As Scored	0	0	
5/1/2004	Kansas City Brass	Sioux Falls SpitFire	4	3	134	League Game	LGE			As Scored	0	0	
5/1/2004	Long Island Rough Riders	Western Mass Pioneers	1	3	1,575	League Game	LGE			As Scored	0	0	
5/1/2004	Nevada Wonders	Orange County Blue Star	1	3	227	League Game	LGE			As Scored	0	0	
5/1/2004	New Orleans Shell Shockers	Lafayette Swamp Cats	3	1	245	League Game	LGE			As Scored	0	0	
5/1/2004	Northern Virginia Royals	Pittsburgh Riverhounds	0	2	250	League Game	LGE			As Scored	0	0	
5/1/2004	Portland Timbers	Seattle Sounders	2	1	6,891	League Game	LGE			As Scored	0	0	
5/1/2004	Puerto Rico Islanders	Syracuse Salty Dogs	2	2	4,072	League Game	LGE			As Scored	0	0	
5/1/2004	Rochester Rhinos	Toronto Lynx	4	0	9,698	League Game	LGE			As Scored	0	0	
5/1/2004	San Diego Gauchos	Utah Blitzz	1	6	250	League Game	LGE			As Scored	0	0	
5/1/2004	Virginia Beach Mariners	Richmond Kickers	0	2	1,665	League Game	LGE			As Scored	0	0	
5/1/2004	Westchester Flames	New Hampshire Phantoms	3	3	282	League Game	LGE			As Scored	0	0	
5/1/2004	Wilmington Hammerheads	Harrisburg City Islanders	1	1	521	League Game	LGE			As Scored	0	0	
5/2/2004	Ajax Orlando Prospects	Cocoa Expos	0	1	138	League Game	LGE			As Scored	0	0	
5/2/2004	St. Louis Strikers	Sioux Falls SpitFire	2	0	391	League Game	LGE			As Scored	0	0	
5/6/2004	Richmond Kickers	Toronto Lynx	3	1	1,042	League Game	LGE			As Scored	0	0	
5/7/2004	Austin Lightning	Lafayette Swamp Cats	4	0	418	League Game	LGE			As Scored	0	0	
5/7/2004	Bradenton Academics	Central Florida Kraze	2	3	100	League Game	LGE			As Scored	0	0	
5/7/2004	Brooklyn Knights	Vermont Voltage	2	0	80	League Game	LGE			As Scored	0	0	
5/7/2004	Carolina Dynamo	West Virginia Chaos	1	0	1,100	League Game	LGE			As Scored	0	0	
5/7/2004	Colorado Springs Blizzard	Kansas City Brass	4	0	987	League Game	LGE			As Scored	0	0	
5/7/2004	DFW Tornados	New Orleans Shell Shockers	8	0	202	League Game	LGE			As Scored	0	0	
5/7/2004	Kalamazoo Kingdom	West Michigan Edge	2	3	1,368	League Game	LGE			As Scored	0	0	
5/7/2004	Memphis Express	El Paso Patriots	0	1	218	League Game	LGE			As Scored	0	0	
5/7/2004	Nashville Metros	Laredo Heat	3	1	960	League Game	LGE			As Scored	0	0	
5/7/2004	Northern Virginia Royals	Charlotte Eagles	0	5	100	League Game	LGE			As Scored	0	0	
5/7/2004	Orange County Blue Star	BYU Cougars	2	0	152	League Game	LGE			As Scored	0	0	
5/7/2004	Rochester Rhinos	Puerto Rico Islanders	3	0	9,051	League Game	LGE			As Scored	0	0	
5/7/2004	Vancouver Whitecaps	Minnesota Thunder	2	1	4,072	League Game	LGE			As Scored	0	0	
5/8/2004	Abbotsford Rangers	Cascade Surge	1	2	392	League Game	LGE			As Scored	0	0	
5/8/2004	Atlanta Silverbacks	Charleston Battery	2	0	1,428	League Game	LGE			As Scored	0	0	
5/8/2004	Austin Lightning	New Orleans Shell Shockers	1	1	458	League Game	LGE			As Scored	0	0	
5/8/2004	Boulder Rapids Reserve	Colorado Springs Blizzard	3	4	250	League Game	LGE			As Scored	0	0	
5/8/2004	Cape Cod Crusaders	Jersey Falcons	3	1	648	League Game	LGE			As Scored	0	0	
5/8/2004	Carolina Dynamo	Richmond Kickers Future	2	2	1,103	League Game	LGE			As Scored	0	0	
5/8/2004	Cocoa Expos	Palm Beach Pumas	8	1	300	League Game	LGE			As Scored	0	0	
5/8/2004	Harrisburg City Islanders	Pittsburgh Riverhounds	1	0	2,832	League Game	LGE			As Scored	0	0	
5/8/2004	Memphis Express	Laredo Heat	4	0	240	League Game	LGE			As Scored	0	0	
5/8/2004	Nashville Metros	El Paso Patriots	1	2	638	League Game	LGE			As Scored	0	0	
5/8/2004	New Hampshire Phantoms	Long Island Rough Riders	4	2	950	League Game	LGE			As Scored	0	0	
5/8/2004	Raleigh CASL Elite	West Virginia Chaos	2	1	528	League Game	LGE			As Scored	0	0	
5/8/2004	Rhode Island Stingrays	New Jersey Stallions	3	0	250	League Game	LGE			As Scored	0	0	
5/8/2004	San Diego Gauchos	Fresno Fuego	1	2	247	League Game	LGE			As Scored	0	0	
5/8/2004	Seattle Sounders	Edmonton Aviators	1	1	2,913	League Game	LGE			As Scored	0	0	
5/8/2004	Southern California Seahorses	BYU Cougars	3	1	515	League Game	LGE			As Scored	0	0	
5/8/2004	Spokane Shadow	Yakima Reds	2	1	2,083	League Game	LGE			As Scored	0	0	
5/8/2004	Syracuse Salty Dogs	Puerto Rico Islanders	4	1	5,023	League Game	LGE			As Scored	0	0	
5/8/2004	Utah Blitzz	California Gold	3	0	100	League Game	LGE			As Scored	0	0	
5/8/2004	Virginia Beach Mariners	Toronto Lynx	3	2	1,655	League Game	LGE			As Scored	0	0	
5/8/2004	Western Mass Pioneers	Westchester Flames	1	0	1,841	League Game	LGE			As Scored	0	0	
